537649475494215690:{"name":"luktvpl","score":"4912"}
910602217667584001:{"name":"Carok","score":"4109"}
832163408635756556:{"name":"DomiTROLL","score":"3666"}
966345148327944312:{"name":"thefilipcom4607","score":"2158"}
780706239146885130:{"name":"karolo","score":"395"}
876842119128580138:{"name":"hubopop1234","score":"100"}
957036426917195867:{"name":"Errorek_404","score":"2262"}
215915764471824394:{"name":"jestemrok","score":"2237"}
856126022058377236:{"name":"janosik","score":"185"}
825090393208651817:{"name":"seek12212","score":"2643"}
985911724043542609:{"name":"BIRILAL","score":"25"}
814938504231911537:{"name":"Frakur","score":"275"}
783679505097031740:{"name":"jaja","score":"4251"}
986297569560903781:{"name":"KacperYT567","score":"440"}
879068328432381953:{"name":"zły_luk","score":"4023"}
968080810429268048:{"name":"łąbćśź🫥 ᱐ 㑚","score":"50"}
910228338130432061:{"name":"sebastian5355","score":"50"}
540156187170308137:{"name":"Russia","score":"25"}
989149966075322388:{"name":"Niezabawny","score":"230"}
924362024891318323:{"name":"Kacperek","score":"3060"}
951182823568576584:{"name":"samuraikm","score":"4465"}
891238058475802644:{"name":"KTOŚ NA PEWNO","score":"1375"}
811589872599040001:{"name":"Piesełeseł","score":"25"}
824747522441347107:{"name":"HELLO👀","score":"4654"}
975442957492686927:{"name":"jestemkotełem","score":"1928"}
936275257667489812:{"name":"Adwix","score":"4816"}
948595559294439504:{"name":"B1234fa","score":"220"}
653853169490591754:{"name":"Young Tomasz","score":"1030"}
900337028565192774:{"name":"Anon's team","score":"125"}
822558151349108756:{"name":"Projahuu","score":"1990"}
869259971689349150:{"name":"Kitten","score":"575"}
625323031555997756:{"name":"Kenso","score":"1993"}
759370627508469771:{"name":"arbuz","score":"3246"}
956667538127876136:{"name":"GolabekPL","score":"3964"}
823262276269113354:{"name":"OriginekYT","score":"1375"}
936937362993328139:{"name":"-_-kaczka-_-","score":"2912"}
839798034337497088:{"name":"💕Alpaczka","score":"415"}
699955747374760057:{"name":"Kise","score":"2617"}
971888619805614130:{"name":"WILDLIFER","score":"275"}
862380795326758933:{"name":"nie znam nazwy","score":"350"}
783697439713656833:{"name":"Nie wiem","score":"3289"}
614423644390555649:{"name":".Ps1nøs","score":"2625"}
876788297362452530:{"name":"kotełek","score":"60"}
933768022206840933:{"name":"Canito0890","score":"1485"}
811976771427762238:{"name":"Michałek","score":"3493"}
526921432421236748:{"name":"panG","score":"1606"}
976552164447113277:{"name":"𝓪𝓻𝓫𝓾𝔃","score":"130"}
831585980385198121:{"name":"Marshmello","score":"3344"}
616349636722163712:{"name":"Tomo","score":"1140"}
818234685284286506:{"name":"EmojiStealer","score":"260"}
795573256777367552:{"name":"kordopel","score":"0"}
810123444040630322:{"name":"Jan pat 2","score":"2636"}
780894489845694495:{"name":"Alan1212","score":"530"}
622034427001700352:{"name":"Foxy_","score":"0"}
976507920101564457:{"name":"mikotopro","score":"1640"}
986985759217180732:{"name":"konradplus","score":"0"}
962590796366884905:{"name":"milosz114","score":"2934"}
940289542366314516:{"name":"Daniellata","score":"0"}
793190358066397225:{"name":"Jamilcz","score":"2055"}
951876874966028299:{"name":"MezZeR","score":"255"}
708660958729470032:{"name":"pot mroczny_las","score":"5051"}
818911675977171025:{"name":"Kub","score":"1355"}
920398021932486698:{"name":"_vvx✞","score":"0"}
985950848855212032:{"name":"Chlebekk9","score":"1380"}
927328588389298207:{"name":"norbert","score":"0"}
781811098490765342:{"name":"Wexar_o","score":"510"}
929346276858945546:{"name":"TEDY","score":"1840"}
975001998309093396:{"name":"Olix_","score":"1200"}
984346597964005396:{"name":"BlackKitty","score":"60"}
921429014848098304:{"name":"Frytek","score":"0"}
835439494270419004:{"name":"Limonor","score":"1180"}
770278705514676244:{"name":"Minimajk (no scam)","score":"0"}
788738921113976833:{"name":"SpizganyRadzio","score":"0"}
415204328886763560:{"name":"XyBeQ","score":"1105"}
706405931424022578:{"name":"High_dude","score":"200"}
974987888766885929:{"name":"KungfuPanda","score":"0"}
792881804016877598:{"name":"blackm1lk","score":"520"}
737952732899573770:{"name":"yoda mały yt","score":"0"}
947082765403295754:{"name":"Axoltyt","score":"165"}
810957550039990283:{"name":"Lol1317","score":"200"}
922510430377742436:{"name":"Janekimpo23","score":"350"}
775654899257442325:{"name":"!                Bartekko1204","score":"0"}
874031234991390801:{"name":"kapcjowyy","score":"0"}
662954075796799493:{"name":"𝑲𝒖𝒃𝒊𝒙.𝑼𝒘𝑼シ","score":"1632"}
769089927081099274:{"name":"pan mleczko","score":"4262"}
582615187526516738:{"name":"🚗тσмαѕz нαנтσ🚗","score":"50"}
745597671833600060:{"name":"FiksiEsz","score":"85"}
538485162300932096:{"name":"ςζΥmοη","score":"1860"}
855100944005464114:{"name":"bexiˢᶻᵉᶠ","score":"490"}
773508905338142721:{"name":"Vischy","score":"440"}
770238445205323776:{"name":"czorex4","score":"1905"}
425291448578080799:{"name":"żarski","score":"330"}
